Country,Total,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1,VA,GE,RL,PS,CC,POP,TR,,,,
Armenia,71.3,5.3,7,5.7,5.9,5.6,6,6.6,4.4,6.8,4.9,7,6.2,-0.58803,0.06901,-0.34421,0.11039,-0.53195,0.4,Warning,,,,
Suriname,71.2,5.8,5.8,6.1,7.1,7,7.6,6.1,5.3,5.4,5.7,3,6.3,0.35705,-0.0158,-0.04516,0.13278,-0.27539,1,Warning,,,,
Guyana,70.8,5.8,5.1,5.9,6.6,6.8,8.5,6.2,6,4.4,5.8,3.8,5.9,0.02123,-0.11587,-0.5302,-0.45661,-0.65084,0.7,Warning,,,,
Namibia,70.4,4.9,3.5,5.3,6.7,8.7,6.5,4.1,6.7,4.9,6.9,5.6,6.5,0.40029,0.18722,0.26696,0.95881,0.32649,2.3,Warning,,,,
Kazakhstan,69.8,6.4,7.7,6.2,6.2,5.3,3.6,7.8,5.1,7.1,5.3,3.8,5.3,-1.2426,-0.53278,-0.6916,-0.40247,-0.929,1.4,Warning,,,,
Ghana,69.1,3.8,5,4.9,6.1,6.5,7.3,5.1,7.6,4.7,6.7,5.5,6,0.43885,-0.09837,0.14914,0.06061,-0.09662,2.4,Warning,,,,
Samoa,68.7,5.5,5.1,4.8,5.9,6,8.8,6,4.8,4.5,6.8,2.5,8,0.40244,0.02464,0.68329,0.98901,0.14521,0.8,Warning,,,,
Macedonia,68,6,7,7.8,5.9,6.2,6.1,6.1,3.9,4.3,3.9,5.2,5.6,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Warning,,,,
South Africa,67.6,5.1,5.6,5.7,5.9,8,4.3,5.3,6.3,4.2,7.8,6.5,2.9,0.6007,0.43829,0.15815,-0.04629,-0.07005,1.5,Warning,,,,
Belize,67.2,5.5,4.3,4.4,5.5,6.6,7.1,6,6,4.1,6.5,4.9,6.3,0.71144,-0.32911,-0.46705,0.17619,-0.09693,2.2,Warning,,,,
Cyprus,67,5,7.9,7.3,5.8,7,4.8,5.5,3,3.3,4,4.4,9,0.98082,1.36662,1.03658,0.56335,1.24576,0.8,Warning,,,,
Malaysia,66.1,6,6.8,6.1,4.1,5.9,4.8,6.2,4.5,7.1,5.6,4.6,4.4,-0.33968,0.99981,0.43576,0.05179,0.35018,1.8,Warning,,,,
Ukraine,65.9,4.4,8,5.9,5.4,5.3,5.7,7.8,3.6,5.7,4.7,3.2,6.2,-0.3154,-0.64575,-0.80448,-0.77728,-1.13152,-0.2,Stable,,,,
Jamaica,65.6,6.3,3.7,4,6.6,5.9,7.2,6.1,5.7,5,5.6,3.4,6.3,0.54341,0.0421,-0.35003,0.18237,-0.27538,0.4,Stable,,,,
Albania,65.2,5.5,6.3,4.8,5.3,4.8,6.6,7,4.8,6,4.7,3.1,6.3,0.04889,-0.31692,-0.51802,0.09193,-0.6986,-0.2,Stable,,,,
Grenada,64.6,5.3,5.6,3.9,5.8,5.9,8.5,6.2,3.6,3.7,5.2,3.2,7.7,0.77025,0.22725,0.13337,0.42617,0.41985,0.4,Stable,,,,
Botswana,64,3.5,3.3,4.8,6.1,7.5,5,4.4,6,4.4,8.3,5.8,4.8,0.48937,0.41417,0.5961,1.10235,0.92363,1.9,Stable,,,,
Seychelles,64,6.4,5.7,4.8,5.2,6.6,4.9,6.3,3.5,5.2,5.2,3.3,6.9,0.0201,0.38207,0.07171,0.82559,0.44197,1.8,Stable,,,,
Brunei Darussalam,63.2,5.6,7.4,6.2,2.8,7.8,4.6,7.4,2.6,6.9,4.5,3.3,4.1,-0.50507,0.86977,0.59461,1.07402,0.64609,1.5,Stable,,,,
Bahrain,62.9,6.1,7.1,7.3,3.2,5.7,3.3,7.6,2.4,7.5,4.6,2.5,5.6,-1.31746,0.58879,0.33108,-1.33542,0.43309,1.2,Stable,,,,
Trinidad and Tobago,62.6,5.7,5.6,4.4,4.6,6.1,7.8,5.6,5.2,5.2,5.3,3,4.2,0.48229,0.36219,-0.16849,0.09369,-0.21662,0.5,Stable,,,,
Brazil,62.1,5.9,4.9,5.9,3.3,8.3,3.9,5.3,5.4,5.3,7,3.6,3.3,0.41743,-0.09289,-0.08018,-0.25855,-0.08471,0.9,Stable,,,,
Kuwait,59.6,4.4,7.9,4.6,3.4,5.3,3.7,7.6,2.6,6.8,5.1,3.8,4.4,-0.65761,-0.07067,0.36563,0.16606,-0.18834,5.8,Stable,,,,
Antigua and Barbuda,58,4.9,3.7,4.1,4.5,5.6,7.6,5.8,4,4.4,4.6,3,5.8,0.61896,0.49056,0.83781,0.95886,1.2608,1.1,Stable,,,,
Mongolia,57.8,4.4,5.5,3.7,4.7,6.3,2.5,5.3,5.7,5.4,5.5,2.2,6.5,0.10896,-0.54848,-0.37138,0.49132,-0.47923,1.9,Stable,,,,
Romania,57.4,4.1,5.2,6.3,5.7,5.3,4.7,6.4,4.3,3.9,4.3,2.7,4.6,0.31152,-0.07442,0.12502,0.17913,-0.18798,-0.4,Stable,,,,
